step,reward_success,reward_noise_resistance,reward_total,recall_before_action_rate
0,0.4024077966352788,0.22061028329649687,0.3930083711311535,0.8425006424758729
10,0.49260368153075296,0.26090709456588734,0.43812924290145083,0.8160793320884699
20,0.5246114673689137,0.29242112217844,0.483488370846872,0.8207734901363466
30,0.5514372652872237,0.41543748107101064,0.6060778604914344,0.8461736854705904
40,0.6569346321862134,0.3940013129273321,0.6272156029185288,0.8731827484937589
50,0.6902780710101796,0.48832590509129065,0.6285038528564412,0.8307996720990126
60,0.742845934630969,0.5014716856046669,0.634640131939773,0.8467751456090759
70,0.7833551707226641,0.5366084138934486,0.6774565979555534,0.8416578397686104
80,0.7657368910216725,0.5357113471142899,0.7322193034839173,0.8269155924971091
90,0.8050810663214344,0.5723888047249676,0.6963260816702324,0.8409620628273258
100,0.867190927815557,0.6025380872959432,0.7109719182967663,0.832762746123145
110,0.8534498503857035,0.6887723223339016,0.7620416833590823,0.8661982880206994
120,0.8511281847716958,0.6772850667555197,0.7647590987786099,0.845485915263276
130,0.8992625221989985,0.6819340635211607,0.7461752789216731,0.8368534214015053
140,0.8524309402519872,0.7258177389088872,0.8108663317953272,0.881756539142758
150,0.8799400581131679,0.6446047916899891,0.8601609421754974,0.8649452671612026
160,0.878847422854172,0.8124287435171224,0.7606704425106391,0.8421869043206318
170,0.8791289087283237,0.7017826869043184,0.8128369174767683,0.8865084471219878
180,0.8498621719853852,0.6726719697516974,0.8292737296012462,0.821027059706007
190,0.8479952289972881,0.7673040881341882,0.8355963635732153,0.8313753169587319
200,0.8777983945415428,0.7234694482638513,0.8409519053622189,0.8429891520777826
210,0.9216576564417517,0.7586437429375934,0.8124705225675234,0.8709358342034377
220,0.8590022265616846,0.8264141095971854,0.8686058759415002,0.8546076448146701
230,0.8519043530789826,0.7309248509796519,0.8061528704743135,0.8366413671757126
240,0.8834706276901186,0.8442683927987213,0.8955886424235842,0.8587887954642205
250,0.9040543673267795,0.8027239962062545,0.8522683202234387,0.8405503819595951
260,0.8996419961038952,0.7364184500634451,0.8275867914127888,0.8590762793554636
270,0.8971284091451365,0.793262811553763,0.8523603582562835,0.8777159021251298
280,0.8920342866471378,0.8186979905523109,0.8494835040801759,0.8590051000780079
290,0.8598733770781183,0.7615143433037427,0.814270288515757,0.8231235201840019
300,0.9097978600854626,0.8393857901455514,0.8317417409294047,0.8630232872012902
